Node 	2099 (a: 	3943) 	Degree 	36 (	36) match with a_node 	3943 (deg 	36): 	0.196262 (No. 	1, score 	0.196262/0.196262)
Node 	2394 (a: 	3687) 	Degree 	31 (	31) match with a_node 	3687 (deg 	31): 	0.194949 (No. 	1, score 	0.194949/0.194949)
Node 	2216 (a: 	5293) 	Degree 	39 (	39) match with a_node 	5293 (deg 	39): 	0.19448 (No. 	1, score 	0.19448/0.19448)
Node 	2217 (a: 	4369) 	Degree 	43 (	43) match with a_node 	4369 (deg 	43): 	0.19304 (No. 	1, score 	0.19304/0.19304)
Node 	2401 (a: 	996) 	Degree 	30 (	30) match with a_node 	996 (deg 	30): 	0.192892 (No. 	1, score 	0.192892/0.192892)
Node 	2119 (a: 	5848) 	Degree 	46 (	46) match with a_node 	5848 (deg 	46): 	0.192845 (No. 	1, score 	0.192845/0.192845)
Node 	2329 (a: 	336) 	Degree 	42 (	42) match with a_node 	336 (deg 	42): 	0.192489 (No. 	1, score 	0.192489/0.192489)
Node 	2356 (a: 	9588) 	Degree 	31 (	31) match with a_node 	9588 (deg 	31): 	0.192251 (No. 	1, score 	0.192251/0.192251)
Node 	2277 (a: 	8706) 	Degree 	33 (	33) match with a_node 	8706 (deg 	33): 	0.190403 (No. 	1, score 	0.190403/0.190403)
Node 	2295 (a: 	2295) 	Degree 	31 (	31) match with a_node 	2295 (deg 	31): 	0.189608 (No. 	1, score 	0.189608/0.189608)
Node 	2338 (a: 	2338) 	Degree 	37 (	37) match with a_node 	2338 (deg 	37): 	0.186979 (No. 	1, score 	0.186979/0.186979)
Node 	2315 (a: 	9807) 	Degree 	27 (	27) match with a_node 	9807 (deg 	27): 	0.185546 (No. 	1, score 	0.185546/0.185546)
Node 	2051 (a: 	9933) 	Degree 	41 (	41) match with a_node 	9933 (deg 	41): 	0.185452 (No. 	1, score 	0.185452/0.185452)
Node 	2390 (a: 	3095) 	Degree 	31 (	31) match with a_node 	3095 (deg 	31): 	0.185322 (No. 	1, score 	0.185322/0.185322)
Node 	2261 (a: 	6263) 	Degree 	27 (	27) match with a_node 	6263 (deg 	27): 	0.177733 (No. 	1, score 	0.177733/0.177733)
Node 	2245 (a: 	1249) 	Degree 	27 (	27) match with a_node 	1249 (deg 	27): 	0.177009 (No. 	1, score 	0.177009/0.177009)
Node 	2405 (a: 	2544) 	Degree 	33 (	33) match with a_node 	2544 (deg 	33): 	0.175869 (No. 	1, score 	0.175869/0.175869)
Node 	2166 (a: 	2166) 	Degree 	31 (	31) match with a_node 	2166 (deg 	31): 	0.174951 (No. 	1, score 	0.174951/0.174951)
Node 	2176 (a: 	2230) 	Degree 	40 (	40) match with a_node 	2230 (deg 	40): 	0.17225 (No. 	1, score 	0.17225/0.17225)
Node 	2113 (a: 	2113) 	Degree 	34 (	34) match with a_node 	2113 (deg 	34): 	0.171944 (No. 	1, score 	0.171944/0.171944)
Node 	2283 (a: 	2961) 	Degree 	37 (	37) match with a_node 	2961 (deg 	37): 	0.17169 (No. 	1, score 	0.17169/0.17169)
Node 	2027 (a: 	2027) 	Degree 	32 (	32) match with a_node 	2027 (deg 	32): 	0.169055 (No. 	1, score 	0.169055/0.169055)
Node 	2272 (a: 	4673) 	Degree 	29 (	29) match with a_node 	4673 (deg 	29): 	0.167368 (No. 	1, score 	0.167368/0.167368)
Node 	2392 (a: 	1885) 	Degree 	27 (	27) match with a_node 	1885 (deg 	27): 	0.165289 (No. 	1, score 	0.165289/0.165289)
Node 	2340 (a: 	376) 	Degree 	29 (	29) match with a_node 	376 (deg 	29): 	0.165028 (No. 	1, score 	0.165028/0.165028)
Node 	2030 (a: 	4939) 	Degree 	39 (	39) match with a_node 	4939 (deg 	39): 	0.164591 (No. 	1, score 	0.164591/0.164591)
Node 	2222 (a: 	9195) 	Degree 	40 (	40) match with a_node 	9195 (deg 	40): 	0.163308 (No. 	1, score 	0.163308/0.163308)
Node 	2271 (a: 	1743) 	Degree 	39 (	39) match with a_node 	1743 (deg 	39): 	0.161489 (No. 	1, score 	0.161489/0.161489)
Node 	2043 (a: 	7521) 	Degree 	28 (	28) match with a_node 	7521 (deg 	28): 	0.161171 (No. 	1, score 	0.161171/0.161171)
Node 	2416 (a: 	2828) 	Degree 	25 (	25) match with a_node 	2828 (deg 	25): 	0.158596 (No. 	1, score 	0.158596/0.158596)
Node 	2052 (a: 	5267) 	Degree 	42 (	42) match with a_node 	5267 (deg 	42): 	0.15451 (No. 	1, score 	0.15451/0.15451)
Node 	2250 (a: 	5676) 	Degree 	33 (	33) match with a_node 	5676 (deg 	33): 	0.152773 (No. 	1, score 	0.152773/0.152773)
Node 	434 (a: 	1091) 	Degree 	37 (	37) match with a_node 	1091 (deg 	37): 	0.151969 (No. 	1, score 	0.151969/0.151969)
Node 	2059 (a: 	2059) 	Degree 	37 (	37) match with a_node 	2059 (deg 	37): 	0.149953 (No. 	1, score 	0.149953/0.149953)
Node 	1843 (a: 	5547) 	Degree 	41 (	41) match with a_node 	5547 (deg 	41): 	0.148637 (No. 	1, score 	0.148637/0.148637)
Node 	2189 (a: 	8358) 	Degree 	37 (	37) match with a_node 	8358 (deg 	37): 	0.148288 (No. 	1, score 	0.148288/0.148288)
Node 	318 (a: 	951) 	Degree 	45 (	45) match with a_node 	951 (deg 	45): 	0.147796 (No. 	1, score 	0.147796/0.147796)
Node 	2331 (a: 	2741) 	Degree 	29 (	29) match with a_node 	2741 (deg 	29): 	0.146272 (No. 	1, score 	0.146272/0.146272)
Node 	2297 (a: 	8036) 	Degree 	28 (	28) match with a_node 	8036 (deg 	28): 	0.143579 (No. 	1, score 	0.143579/0.143579)
Node 	1850 (a: 	1850) 	Degree 	36 (	36) match with a_node 	1850 (deg 	36): 	0.143284 (No. 	1, score 	0.143284/0.143284)
Node 	2134 (a: 	1747) 	Degree 	22 (	22) match with a_node 	1747 (deg 	22): 	0.143121 (No. 	1, score 	0.143121/0.143121)
Node 	2346 (a: 	7047) 	Degree 	22 (	22) match with a_node 	7047 (deg 	22): 	0.139314 (No. 	1, score 	0.139314/0.139314)
Node 	2208 (a: 	9318) 	Degree 	28 (	28) match with a_node 	9318 (deg 	28): 	0.137042 (No. 	1, score 	0.137042/0.137042)
Node 	2101 (a: 	9419) 	Degree 	26 (	26) match with a_node 	9419 (deg 	26): 	0.13619 (No. 	1, score 	0.13619/0.13619)
Node 	2344 (a: 	7911) 	Degree 	26 (	26) match with a_node 	7911 (deg 	26): 	0.135995 (No. 	1, score 	0.135995/0.135995)
Node 	2198 (a: 	1288) 	Degree 	31 (	31) match with a_node 	1288 (deg 	31): 	0.135092 (No. 	1, score 	0.135092/0.135092)
Node 	2314 (a: 	5532) 	Degree 	32 (	32) match with a_node 	5532 (deg 	32): 	0.135028 (No. 	1, score 	0.135028/0.135028)
Node 	2143 (a: 	6621) 	Degree 	38 (	38) match with a_node 	6621 (deg 	38): 	0.133349 (No. 	1, score 	0.133349/0.133349)
Node 	2228 (a: 	2228) 	Degree 	25 (	25) match with a_node 	2228 (deg 	25): 	0.133349 (No. 	1, score 	0.133349/0.133349)
Node 	2408 (a: 	5458) 	Degree 	20 (	20) match with a_node 	5458 (deg 	20): 	0.132483 (No. 	1, score 	0.132483/0.132483)
Node 	2348 (a: 	5771) 	Degree 	27 (	27) match with a_node 	5771 (deg 	27): 	0.131769 (No. 	1, score 	0.131769/0.131769)
Node 	2316 (a: 	4831) 	Degree 	27 (	27) match with a_node 	4831 (deg 	27): 	0.130194 (No. 	1, score 	0.130194/0.130194)
Node 	2226 (a: 	9367) 	Degree 	30 (	30) match with a_node 	9367 (deg 	30): 	0.130129 (No. 	1, score 	0.130129/0.130129)
Node 	2227 (a: 	549) 	Degree 	19 (	19) match with a_node 	549 (deg 	19): 	0.129869 (No. 	1, score 	0.129869/0.129869)
Node 	2084 (a: 	7246) 	Degree 	25 (	25) match with a_node 	7246 (deg 	25): 	0.12798 (No. 	1, score 	0.12798/0.12798)
Node 	2274 (a: 	5170) 	Degree 	31 (	31) match with a_node 	5170 (deg 	31): 	0.127695 (No. 	1, score 	0.127695/0.127695)
Node 	2238 (a: 	6504) 	Degree 	27 (	27) match with a_node 	6504 (deg 	27): 	0.126422 (No. 	1, score 	0.126422/0.126422)
Node 	2073 (a: 	6187) 	Degree 	34 (	34) match with a_node 	6187 (deg 	34): 	0.124746 (No. 	1, score 	0.124746/0.124746)
Node 	2061 (a: 	5971) 	Degree 	31 (	31) match with a_node 	5971 (deg 	31): 	0.123435 (No. 	1, score 	0.123435/0.123435)
Node 	2106 (a: 	828) 	Degree 	20 (	20) match with a_node 	828 (deg 	20): 	0.123244 (No. 	1, score 	0.123244/0.123244)
Node 	2203 (a: 	2203) 	Degree 	27 (	27) match with a_node 	2203 (deg 	27): 	0.123232 (No. 	1, score 	0.123232/0.123232)
Node 	2191 (a: 	6858) 	Degree 	28 (	28) match with a_node 	6858 (deg 	28): 	0.122872 (No. 	1, score 	0.122872/0.122872)
Node 	2060 (a: 	2952) 	Degree 	30 (	30) match with a_node 	2952 (deg 	30): 	0.122184 (No. 	1, score 	0.122184/0.122184)
Node 	1907 (a: 	9810) 	Degree 	168 (	168) match with a_node 	9810 (deg 	168): 	0.122094 (No. 	1, score 	0.122094/0.122094)
Node 	2056 (a: 	9595) 	Degree 	24 (	24) match with a_node 	9595 (deg 	24): 	0.12154 (No. 	1, score 	0.12154/0.12154)
Node 	2039 (a: 	5191) 	Degree 	36 (	36) match with a_node 	5191 (deg 	36): 	0.121234 (No. 	1, score 	0.121234/0.121234)
Node 	3793 (a: 	3933) 	Degree 	103 (	103) match with a_node 	3933 (deg 	103): 	0.120425 (No. 	1, score 	0.120425/0.120425)
Node 	1726 (a: 	4504) 	Degree 	100 (	100) match with a_node 	4504 (deg 	100): 	0.120109 (No. 	1, score 	0.120109/0.120109)
Node 	5439 (a: 	3947) 	Degree 	105 (	105) match with a_node 	3947 (deg 	105): 	0.119968 (No. 	1, score 	0.119968/0.119968)
Node 	2257 (a: 	9733) 	Degree 	29 (	29) match with a_node 	9733 (deg 	29): 	0.119527 (No. 	1, score 	0.119527/0.119527)
Node 	2249 (a: 	2375) 	Degree 	26 (	26) match with a_node 	2375 (deg 	26): 	0.118921 (No. 	1, score 	0.118921/0.118921)
Node 	2068 (a: 	3790) 	Degree 	29 (	29) match with a_node 	3790 (deg 	29): 	0.118631 (No. 	1, score 	0.118631/0.118631)
Node 	2218 (a: 	8883) 	Degree 	24 (	24) match with a_node 	8883 (deg 	24): 	0.11681 (No. 	1, score 	0.11681/0.11681)
Node 	2034 (a: 	6352) 	Degree 	30 (	30) match with a_node 	6352 (deg 	30): 	0.116664 (No. 	1, score 	0.116664/0.116664)
Node 	2118 (a: 	2118) 	Degree 	33 (	33) match with a_node 	2118 (deg 	33): 	0.115447 (No. 	1, score 	0.115447/0.115447)
Node 	2058 (a: 	287) 	Degree 	29 (	29) match with a_node 	287 (deg 	29): 	0.115362 (No. 	1, score 	0.115362/0.115362)
Node 	2317 (a: 	5103) 	Degree 	19 (	19) match with a_node 	5103 (deg 	19): 	0.11512 (No. 	1, score 	0.11512/0.11512)
Node 	1730 (a: 	4321) 	Degree 	83 (	83) match with a_node 	4321 (deg 	83): 	0.114834 (No. 	1, score 	0.114834/0.114834)
Node 	2299 (a: 	4393) 	Degree 	20 (	20) match with a_node 	4393 (deg 	20): 	0.113363 (No. 	1, score 	0.113363/0.113363)
Node 	2376 (a: 	8241) 	Degree 	21 (	21) match with a_node 	8241 (deg 	21): 	0.112952 (No. 	1, score 	0.112952/0.112952)
Node 	2160 (a: 	8282) 	Degree 	22 (	22) match with a_node 	8282 (deg 	22): 	0.112925 (No. 	1, score 	0.112925/0.112925)
Node 	2292 (a: 	9394) 	Degree 	22 (	22) match with a_node 	9394 (deg 	22): 	0.112623 (No. 	1, score 	0.112623/0.112623)
Node 	3774 (a: 	4074) 	Degree 	90 (	90) match with a_node 	4074 (deg 	90): 	0.112547 (No. 	1, score 	0.112547/0.112547)
Node 	2413 (a: 	2413) 	Degree 	16 (	16) match with a_node 	2413 (deg 	16): 	0.110745 (No. 	1, score 	0.110745/0.110745)
Node 	2247 (a: 	834) 	Degree 	18 (	18) match with a_node 	834 (deg 	18): 	0.108826 (No. 	1, score 	0.108826/0.108826)
Node 	5441 (a: 	5282) 	Degree 	81 (	81) match with a_node 	5282 (deg 	81): 	0.107573 (No. 	1, score 	0.107573/0.107573)
Node 	2400 (a: 	9016) 	Degree 	17 (	17) match with a_node 	9016 (deg 	17): 	0.107361 (No. 	1, score 	0.107361/0.107361)
Node 	2163 (a: 	7640) 	Degree 	26 (	26) match with a_node 	7640 (deg 	26): 	0.105719 (No. 	1, score 	0.105719/0.105719)
Node 	464 (a: 	1312) 	Degree 	25 (	25) match with a_node 	1312 (deg 	25): 	0.104936 (No. 	1, score 	0.104936/0.104936)
Node 	2313 (a: 	3898) 	Degree 	20 (	20) match with a_node 	3898 (deg 	20): 	0.104371 (No. 	1, score 	0.104371/0.104371)
Node 	5433 (a: 	2548) 	Degree 	66 (	66) match with a_node 	2548 (deg 	66): 	0.103916 (No. 	1, score 	0.103916/0.103916)
Node 	2100 (a: 	2100) 	Degree 	20 (	20) match with a_node 	2100 (deg 	20): 	0.103621 (No. 	1, score 	0.103621/0.103621)
Node 	5366 (a: 	3380) 	Degree 	79 (	79) match with a_node 	3380 (deg 	79): 	0.10336 (No. 	1, score 	0.10336/0.10336)
Node 	2192 (a: 	8918) 	Degree 	20 (	20) match with a_node 	8918 (deg 	20): 	0.102754 (No. 	1, score 	0.102754/0.102754)
